page_number,rating

1270404132,22,items,3
1270404132,22,predicted_items_0,4
1270404132,22,predicted_items_1,3
1270404132,22,items,4
1270404132,22,predicted_items_0,3
1270404132,22,predicted_items_1,3
1270404132,22,items,4
1270404132,22,predicted_items_0,4
1270404132,22,predicted_items_1,4
1270404132,22,predicted_items_2,4
1270404132,22,items,4
1270404132,22,predicted_items_0,1
1270404132,22,predicted_items_1,4
1270404132,22,predicted_items_2,3
1270404132,23,items,4
1270404132,23,predicted_items_0,2
1270404132,23,predicted_items_1,3
1270404132,23,predicted_items_2,2
1270404132,22,items,3
1270404132,22,predicted_items_0,3
1270404132,22,predicted_items_1,4
1270404132,22,predicted_items_2,2
1270404132,23,items,3
1270404132,23,predicted_items_0,4
1270404132,23,predicted_items_1,4
1270404132,23,predicted_items_2,3
1270404132,22,items,3
1270404132,22,predicted_items_0,1
1270404132,22,predicted_items_1,5
1270404132,22,predicted_items_2,2
1270404132,23,items,4
1270404132,23,predicted_items_0,2
1270404132,23,predicted_items_1,3
1270404132,23,predicted_items_2,1
1270404132,22,items,2
1270404132,22,items,3
